id,change_date,store_code,old_plan_name,old_plan_speed,old_plan_quota,old_plan_price,new_plan_name,new_plan_speed,new_plan_quota,new_plan_price,number_of_movements
19045,12/8/2019,FSFSH0703004,Super ,30,140,120,Super ,30,250,210,1
19046,12/11/2019,Btech004,Super ,30,140,120,Super ,30,250,210,3
19047,12/11/2019,TEOSU11016,Super ,30,140,120,Super ,30,250,210,2
19048,12/11/2019,WSFAL0503004,Super ,30,250,210,Super ,30,140,120,1
19049,12/11/2019,TDOCA02011,Super ,30,600,500,Super ,30,250,210,1
19050,12/11/2019,TEOMA06031,Super ,30,250,210,Super ,30,140,120,1
19051,12/11/2019,TEOCA010112,Mega ,70,140,220,Super ,30,140,120,1
19052,12/4/2019,TEOCA01022,Super ,30,140,120,Super ,30,250,210,1
19053,12/4/2019,WSFBE0902006,Super ,30,140,120,Super ,30,250,210,1
19054,12/4/2019,TDOLU14021,Super ,30,250,210,Super ,30,600,500,1
19055,12/4/2019,TEOGI04041,Super ,30,600,500,Super ,30,250,210,1
19056,12/4/2019,FSFSH0703001,Super ,30,140,120,Super ,30,250,210,1
19057,12/4/2019,TEOQE14016,Super ,30,140,120,Super ,30,250,210,1
19058,12/4/2019,TEOGI040410,Super ,30,140,120,Super ,30,250,210,3
19059,12/4/2019,TEOCA01015,Super ,30,250,210,Super ,30,140,120,1
19060,12/3/2019,TEOCA01011,Mega ,70,250,310,Ultra ,100,600,700,1
19061,12/3/2019,TEOCA02032,Super ,30,250,210,Super ,30,600,500,1
19062,12/3/2019,TEECA02022,Super ,30,600,500,Super ,30,140,120,1
19063,12/3/2019,TREX00039,Super ,30,140,120,Super ,30,250,210,1
19064,12/3/2019,TEOBE09015,Super ,30,250,210,Super ,30,140,120,1
19065,12/3/2019,TREX00015,Super ,30,250,210,Super ,30,140,120,1
19066,12/3/2019,TEOQU01031,Super ,30,250,210,Super ,30,140,120,1
19067,12/3/2019,TEOQE14011,Super ,30,140,120,Super ,30,250,210,1
19068,12/3/2019,TEOCA02025,Super ,30,250,210,Super ,30,140,120,1
19069,12/3/2019,101-001,Ultra ,100,250,410,Mega ,70,250,310,1
19070,12/8/2019,TDOCA01011,Super ,30,140,120,Super ,30,140,120,1
19071,12/8/2019,TDOBE09011,Super ,30,140,120,Super ,30,250,210,1
19072,12/8/2019,TEOCA03037,Super ,30,250,210,Super ,30,140,120,1
19073,12/8/2019,TEOCA010112,Mega ,70,250,310,Super ,30,250,210,1
19074,12/8/2019,TEOCA010112,Mega ,70,140,220,Mega ,70,250,310,1
